Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","1986","1986","tonnes","37603","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","1987","1987","tonnes","26588","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","1988","1988","tonnes","32916","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","1989","1989","tonnes","30657","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","1990","1990","tonnes","24284","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","1991","1991","tonnes","48374","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","1992","1992","tonnes","32897","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","1993","1993","tonnes","40663","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","1994","1994","tonnes","45197","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","1995","1995","tonnes","44355","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","1996","1996","tonnes","53437","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","1997","1997","tonnes","58400","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","1998","1998","tonnes","66000","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","1999","1999","tonnes","70000","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","2000","2000","tonnes","87800","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","2001","2001","tonnes","88100","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","2002","2002","tonnes","95900","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","2003","2003","tonnes","93790","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","2004","2004","tonnes","98813","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","2005","2005","tonnes","103708","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","2006","2006","tonnes","105434","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","2007","2007","tonnes","111407","S","Standardized data"
"CB","Commodity Balances (non-food)","21","Brazil","5510","Production","2672","Rubber","2008","2008","tonnes","120905","S","Standardized data"
